energy-kcal_100g,energy_100g,fat_100g,carbohydrates_100g,proteins_100g
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
387.09677419355,1620.0,8.0645161290323,77.41935483871,6.4516129032258
25.0,105.0,0.1,5.4,0.3
38.0,159.0,0.0,5.42,3.33
0.0,0.0,0.0,0.0,0.0
464.0,1941.0,21.43,64.29,3.57
800.0,3350.0,93.3,0.0,0.0
105.0,439.0,1.2,20.0,1.7
700.0,2929.0,60.0,10.0,26.666666666667
607.0,2540.0,53.57,17.86,21.43
467.0,1954.0,43.33,3.33,20.0
213.0,891.0,14.67,22.67,4.0
88.235294117647,369.0,0.0,17.647058823529,0.0
283.57183999999995,488.6,2.52,21.3433333333334,7.5567133333334
522.0,2184.0,26.09,65.22,8.7
314.285714285714,1315.0,5.71428571428571,65.7142857142857,8.57142857142857
28.169014084507,118.0,0.0,6.7605633802817,0.0
50.0,209.0,0.71,12.14,0.71
161.0,674.0,8.93,3.57,17.86
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
250.0,1046.0,1.7857142857143,7.1428571428571,50.0
394.73684210526,1652.0,2.6315789473684,92.105263157895,2.6315789473684
61.4,1083.6,1.8,19.0,2.8940000023841863
250.0,1046.0,16.0714285714286,3.57142857142857,17.8571428571429
400.0,1670.0,6.266,64.14,7.465999999999999
515.4,2154.8,49.992,26.82666666666666,16.866
100.0,418.0,0.0,0.0,0.0
396.0,1657.0,0.0,99.0,0.0
421.05263157895,1762.0,15.789473684211,73.684210526316,2.6315789473684
645.0,2699.0,64.232,32.6,3.432
196.3294117647058,1185.8,7.1399999777476,9.36096254777144,302.35999998092655
407.0796,1703.0,20.354,50.4425,6.1947
321.0,1343.0,26.19,7.14,14.29
645.0,2699.0,64.232,32.6,3.432
243.05555555556,1017.0,11.805555555556,23.611111111111,11.805555555556
400.0,1674.0,5.0,90.0,0.0
465.0,1946.0,18.6,72.09,4.65
397.0,1661.0,13.0,35.0,38.0
216.6047619047626,1503.8,17.432666666666666,33.52380952380954,5.319999999999999
127.0,529.0,9.8,8.57,1.63
50.0,209.0,0.0,11.25,1.25
391.30434782609,1637.0,30.434782608696,0.0,26.086956521739
61.4,1083.6,1.8,19.0,2.8940000023841863
